candidate_id,primary_event_id,compat_event_family,source_type,source_contract_ids,governance_tier,operational_role,deployment_disposition,matched_bundle_count,matched_required_coverage,matched_run_ids,matched_bundle_candidate_ids,empirical_evidence_source,sample_size_total,validation_samples_total,test_samples_total,median_estimate_bps,median_net_expectancy_bps,best_q_value,best_stability_score,negative_control_rate_min,realized_oos_supported,ontology_fidelity,implementation_fidelity,evidence_strength,regime_clarity,invalidation_clarity,confounder_handling,holdout_quality,deployment_suitability,total_score,empirical_decision,lifecycle_class,evidence_gap_summary,recommended_next_action
THESIS_VOL_SHOCK,VOL_SHOCK,VOL_SHOCK,event,VOL_SHOCK,D,trigger,review_required,2,1.00,THESIS_VOL_SHOCK,THESIS_VOL_SHOCK,evidence_bundle:THESIS_VOL_SHOCK:THESIS_VOL_SHOCK|evidence_bundle:THESIS_VOL_SHOCK:THESIS_VOL_SHOCK,3739,2067,1672,108.3335,102.3335,0.000000,0.961127,0.000000,1,3,5,5,4,4,4,5,3,33,seed_promote,tested_thesis,,package_seed_thesis
THESIS_LIQUIDITY_VACUUM,LIQUIDITY_VACUUM,LIQUIDITY_VACUUM,event,LIQUIDITY_VACUUM,D,trigger,review_required,2,1.00,THESIS_LIQUIDITY_VACUUM,THESIS_LIQUIDITY_VACUUM,evidence_bundle:THESIS_LIQUIDITY_VACUUM:THESIS_LIQUIDITY_VACUUM|evidence_bundle:THESIS_LIQUIDITY_VACUUM:THESIS_LIQUIDITY_VACUUM,1083,601,482,101.4320,95.4320,0.000000,0.932391,0.000000,1,3,5,5,4,4,4,5,3,33,seed_promote,tested_thesis,,package_seed_thesis
THESIS_LIQUIDITY_STRESS_DIRECT,LIQUIDITY_STRESS_DIRECT,LIQUIDITY_STRESS_DIRECT,event,LIQUIDITY_STRESS_DIRECT,D,trigger,review_required,0,0.00,,,,0,0,0,,,,,,0,3,1,0,4,4,0,0,1,13,needs_repair,candidate_thesis,empirical_evidence_bundle_missing|holdout_check_missing|confounder_sanity_check_missing|governance_role_or_disposition_blocked,repair_governance_or_role_conflict
THESIS_BASIS_DISLOC,BASIS_DISLOC,BASIS_DISLOC,event,BASIS_DISLOC,D,trigger,review_required,0,0.00,,,,0,0,0,,,,,,0,3,4,0,4,4,0,0,3,18,needs_more_evidence,candidate_thesis,empirical_evidence_bundle_missing|holdout_check_missing|confounder_sanity_check_missing,run_empirical_event_study
THESIS_FND_DISLOC,FND_DISLOC,FND_DISLOC,event,FND_DISLOC,D,trigger,review_required,0,0.00,,,,0,0,0,,,,,,0,3,4,0,4,4,0,0,3,18,needs_more_evidence,candidate_thesis,empirical_evidence_bundle_missing|holdout_check_missing|confounder_sanity_check_missing,run_empirical_event_study
THESIS_LIQUIDATION_CASCADE,LIQUIDATION_CASCADE,LIQUIDATION_CASCADE,event,LIQUIDATION_CASCADE,D,trigger,review_required,2,1.00,THESIS_LIQUIDATION_CASCADE,THESIS_LIQUIDATION_CASCADE,evidence_bundle:THESIS_LIQUIDATION_CASCADE:THESIS_LIQUIDATION_CASCADE|evidence_bundle:THESIS_LIQUIDATION_CASCADE:THESIS_LIQUIDATION_CASCADE,375,200,175,125.7448,119.7448,0.000000,0.984920,0.000000,1,3,5,5,4,4,4,5,3,33,seed_promote,tested_thesis,,package_seed_thesis
THESIS_VOL_SHOCK_LIQUIDITY_CONFIRM,VOL_SHOCK_LIQUIDITY_CONFIRM,VOL_SHOCK,event_plus_confirm,VOL_SHOCK|LIQUIDITY_VACUUM,D,confirm,seed_review_required,2,1.00,THESIS_VOL_SHOCK_LIQUIDITY_CONFIRM,THESIS_VOL_SHOCK_LIQUIDITY_CONFIRM,evidence_bundle:THESIS_VOL_SHOCK_LIQUIDITY_CONFIRM:THESIS_VOL_SHOCK_LIQUIDITY_CONFIRM|evidence_bundle:THESIS_VOL_SHOCK_LIQUIDITY_CONFIRM:THESIS_VOL_SHOCK_LIQUIDITY_CONFIRM,541,300,241,101.4320,95.4320,0.000000,0.927282,0.000000,1,3,4,4,4,4,4,4,3,30,seed_promote,tested_thesis,direct_pair_event_study_missing,package_seed_thesis
THESIS_LIQUIDITY_VACUUM_CASCADE_CONFIRM,LIQUIDATION_CASCADE,LIQUIDATION_CASCADE,event_plus_confirm,LIQUIDITY_VACUUM|LIQUIDATION_CASCADE,D,confirm,seed_review_required,0,0.00,,,,0,0,0,,,,,,0,3,4,0,4,4,0,0,3,18,needs_more_evidence,candidate_thesis,empirical_evidence_bundle_missing|required_contract_coverage_incomplete|holdout_check_missing|confounder_sanity_check_missing,run_empirical_event_study
THESIS_BASIS_FND_CONFIRM,BASIS_DISLOC,BASIS_DISLOC,event_plus_confirm,BASIS_DISLOC|FND_DISLOC,D,confirm,seed_review_required,0,0.00,,,,0,0,0,,,,,,0,3,1,0,4,4,0,0,1,13,needs_repair,candidate_thesis,empirical_evidence_bundle_missing|required_contract_coverage_incomplete|holdout_check_missing|confounder_sanity_check_missing|governance_role_or_disposition_blocked,repair_governance_or_role_conflict
THESIS_LIQUIDATION_DEPTH_CONFIRM,LIQUIDATION_CASCADE,LIQUIDATION_CASCADE,event_plus_confirm,LIQUIDATION_CASCADE|LIQUIDITY_STRESS_DIRECT,D,confirm,seed_review_required,0,0.00,,,,0,0,0,,,,,,0,3,1,0,4,4,0,0,1,13,needs_repair,candidate_thesis,empirical_evidence_bundle_missing|required_contract_coverage_incomplete|holdout_check_missing|confounder_sanity_check_missing|governance_role_or_disposition_blocked,repair_governance_or_role_conflict
