claim_id,source_id,concept_id,candidate_type,claim_type,operationalizable,missing,priority_score,target_gate,next_artifact,evidence_locator,assets,horizon,stage,features,label,status,statement_summary
C_EVENT_DEFINITIONS_BOOTSTRAP,c_event_definitions_bootstrap_fragment,C_EVENT_DEFINITIONS,event,mechanistic,Y,,15,E-1,spec/events/{event_type}.yaml,spec/concepts/C_EVENT_DEFINITIONS.yaml#definition,,1m,bootstrap_internal,frequency|co_occurrence|all,count(events) >= 50,bootstrap_internal,"Event Definitions: technical implementation of causal EVENT triggers (t0 anchors), with STATE windows derived downstream from source events. Metrics: frequency, co_occurrence. Tests: T_EDEF_01."
C_EVENT_REGISTRY_BOOTSTRAP,c_event_registry_bootstrap_fragment,C_EVENT_REGISTRY,event,mechanistic,Y,,15,E-1,spec/events/{event_type}.yaml,spec/concepts/C_EVENT_REGISTRY.yaml#definition,,event-driven,bootstrap_internal,prevalence|determinism|timestamp|symbol|event_type,trigger_ts <= data_ts,bootstrap_internal,"Event Registry: deterministic, versioned taxonomy of tradable market situations, with strict separation between EVENT triggers and derived STATE windows. Metrics: prevalence, determinism. Tests: T_REG"
C_LIQUIDITY_MEAN_REVERSION_BOOTSTRAP,c_liquidity_mean_reversion_bootstrap_fragment,C_LIQUIDITY_MEAN_REVERSION,event,mechanistic,Y,,15,E-1,spec/events/{event_type}.yaml,spec/concepts/C_LIQUIDITY_MEAN_REVERSION.yaml#definition,,1m,bootstrap_internal,basis_zscore|vwap_deviation_bps|depth_imbalance|close|volume|bid_price|ask_price|basis_bps,prob(revert_within_30m | basis_spike > 3) > 0.7,bootstrap_internal,"Liquidity Mean Reversion: tendency of market prices to revert to a mean or fair value anchor after a temporary dislocation caused by liquidity shocks. Metrics: basis_zscore, vwap_deviation_bps, depth_"
C_MICROSTRUCTURE_METRICS_BOOTSTRAP,c_microstructure_metrics_bootstrap_fragment,C_MICROSTRUCTURE_METRICS,feature,mechanistic,Y,,15,V1,spec/features/{feature_name}.yaml,spec/concepts/C_MICROSTRUCTURE_METRICS.yaml#definition,,1m,bootstrap_internal,roll_spread_bps|vpin_score|amihud_illiquidity|close|volume|quote_volume|bid_price|ask_price|bid_qty|ask_qty,roll_spread_bps > 0,bootstrap_internal,"Microstructure Metrics: Quantitative measures of market liquidity, transaction costs, and trade toxicity. Metrics: roll_spread_bps, vpin_score, amihud_illiquidity. Tests: T_MICRO_01, T_MICRO_02, T_MIC"
C_TREND_EXHAUSTION_BOOTSTRAP,c_trend_exhaustion_bootstrap_fragment,C_TREND_EXHAUSTION,event,mechanistic,Y,,15,E-1,spec/events/{event_type}.yaml,spec/concepts/C_TREND_EXHAUSTION.yaml#definition,,15m,bootstrap_internal,trend_age|oi_z|directional_streak|close|volume|sum_open_interest,prob(reversal | streak >= 5) > 0.6,bootstrap_internal,"Trend Exhaustion: identification of mature trends likely to reverse or consolidate using age, slope decay, and OI behavior. Metrics: trend_age, oi_z, directional_streak. Tests: T_TREND_01."
C_VOLATILITY_STATE_TRANSITIONS_BOOTSTRAP,c_volatility_state_transitions_bootstrap_fragment,C_VOLATILITY_STATE_TRANSITIONS,event,mechanistic,Y,,15,E-1,spec/events/{event_type}.yaml,spec/concepts/C_VOLATILITY_STATE_TRANSITIONS.yaml#definition,,1m,bootstrap_internal,realized_vol_bps|atr_percentile|vol_compression_flag|high|low|close,"autocorrelation(realized_vol_bps, 1) > 0.4",bootstrap_internal,"Volatility State Transitions: cyclical alternation between market states: compression, expansion, exhaustion, reset. Metrics: realized_vol_bps, atr_percentile, vol_compression_flag. Tests: T_VOL_01, T"
C_CONTEXT_DELTAS_BOOTSTRAP,c_context_deltas_bootstrap_fragment,C_CONTEXT_DELTAS,feature,mechanistic,Y,,14,V1,spec/features/{feature_name}.yaml,spec/concepts/C_CONTEXT_DELTAS.yaml#definition,,1m,bootstrap_internal,vol_accel|basis_v|all,all(input_ts <= t0),bootstrap_internal,"Context Deltas: measurement of state changes (trajectories) in market environment variables leading up to an event. Metrics: vol_accel, basis_v. Tests: T_DELTA_01."
C_CONTEXT_INTERACTIONS_BOOTSTRAP,c_context_interactions_bootstrap_fragment,C_CONTEXT_INTERACTIONS,feature,mechanistic,Y,,14,V1,spec/features/{feature_name}.yaml,spec/concepts/C_CONTEXT_INTERACTIONS.yaml#definition,,1m,bootstrap_internal,interaction_lift|concordance|all,sharpe(A+B) > 2 * sharpe(A),bootstrap_internal,"Context Interaction: study of edges manifesting only when multiple independent conditions align (e.g., low vol + session open). Metrics: interaction_lift, concordance. Tests: T_INT_01, T_INT_03."
C_EXECUTION_COST_MODEL_BOOTSTRAP,c_execution_cost_model_bootstrap_fragment,C_EXECUTION_COST_MODEL,execution,mechanistic,Y,,13,Bridge,spec/concepts/C_EXECUTION_COST_MODEL.yaml,spec/concepts/C_EXECUTION_COST_MODEL.yaml#definition,,1s,bootstrap_internal,shortfall|impact_bps|bid_price|ask_price|bid_qty|ask_qty,impact(2Q) < 2 * impact(Q),bootstrap_internal,"Execution / Cost Model: deterministic model of explicit fees and implicit frictions (spread, slippage, impact) using implementation shortfall. Metrics: shortfall, impact_bps. Tests: T_COST_01."
C_SESSION_MICROSTRUCTURE_BOOTSTRAP,c_session_microstructure_bootstrap_fragment,C_SESSION_MICROSTRUCTURE,feature,mechanistic,Y,,13,V1,spec/features/{feature_name}.yaml,spec/concepts/C_SESSION_MICROSTRUCTURE.yaml#definition,,1m,bootstrap_internal,session_range_pct|session_vol_z|high|low|close|volume,E[NY_range | Asia_range_pct < 0.3] > E[NY_range],bootstrap_internal,"Session Microstructure: Market behavior and liquidity dynamics stratified by global trading sessions (Asia, Europe, US) and their overlaps. Metrics: session_range_pct, session_vol_z. Tests: T_SESS_01."
